data.HuGene.2_0.v1.091906_4905_Pool1_a.CEL	data.HuGene.2_0.v1.091906_4905_Pool2_a.CEL	data.HuGene.2_0.v1.091906_4905_Pool3_a.CEL	data.HuGene.2_0.v1.091906_4905_Pool4_a.CEL	data.HuGene.2_0.v1.091906_4905_Pool5_a.CEL	data.HuGene.2_0.v1.091906_4905_Pool6_a.CEL	data.HuGene.2_0.v1.091906_4905_Pool7_a.CEL	data.HuGene.2_0.v1.092006_4905_Pool1_b.CEL	data.HuGene.2_0.v1.092006_4905_Pool1_c.CEL	data.HuGene.2_0.v1.092006_4905_Pool2_b.CEL	data.HuGene.2_0.v1.092006_4905_Pool2_c.CEL	data.HuGene.2_0.v1.092006_4905_Pool3_b.CEL	data.HuGene.2_0.v1.092006_4905_Pool3_c.CEL	data.HuGene.2_0.v1.092006_4905_Pool4_b.CEL	data.HuGene.2_0.v1.092006_4905_Pool4_c.CEL	data.HuGene.2_0.v1.092006_4905_Pool5_b.CEL	data.HuGene.2_0.v1.092006_4905_Pool5_c.CEL	data.HuGene.2_0.v1.092006_4905_Pool6_b.CEL	data.HuGene.2_0.v1.092006_4905_Pool6_c.CEL	data.HuGene.2_0.v1.092006_4905_Pool7_b.CEL	data.HuGene.2_0.v1.092006_4905_Pool7_c.CEL
1561	284.238	271.714	286.762	302.762	304.524	207.048	368.714	326.81	358.905	245.952	268.667	318.762	279.952	248.619	264.095	300.952	242.952	332.238	209.19	267.143	340.381
1562	388.095	305.381	381.19	420.238	325.857	275.095	361.81	420.19	357.952	336.857	273.905	367.143	428.714	258.667	275.048	305.381	316.286	411.905	295.048	308	480.905
1563	63.2857	50.4762	71.381	73.1429	76.8571	59.8095	87.0476	89.0476	69.6667	49.381	78.1429	64.2381	73.3333	60.619	42.0476	48.3333	63.4762	78.9048	52.4762	60.8571	75.7143
1564	172.524	141.952	116.143	123.81	99.9524	138.81	72.1429	175.143	123.619	129.762	138.429	121.286	164.429	140.19	139.952	92.9048	189.571	250.095	162.81	111.524	145.857
1565	109.286	94.5714	68	68.9048	114.476	56.4286	51.7143	106.333	73.8571	83.8095	63.8095	71.9524	75	69.5238	105.238	98.8571	90.6667	81.9048	76	70.5238	108.667
1566	73.2857	90.3333	109.619	68.9048	132.667	70.381	75.8571	78.3333	116.333	88.6667	79.1429	71.9524	68.7619	48.1429	67.0952	73.9048	83.7143	48.8095	106.333	62.5238	85
1567	194.619	206	253.048	145.238	225.048	196.619	262.905	222.19	207.048	164.714	183.81	177.905	119.81	167.524	188.19	200.857	129.714	180.476	217	210.429	236
1568	151.476	173.095	159.19	141.095	159.905	188.333	312.095	168.762	147	123.095	157.381	145	131.714	136.762	185.81	231.667	134.048	161.952	166.857	244.476	127.857
1569	202.619	305.381	261.524	269.286	214.19	183.095	304.333	181.476	169.095	304.524	276.048	242.952	160.905	188.524	168.762	165.238	171	237.571	228.667	247.381	241
1570	197.381	155.333	162.571	168.619	214.19	199.762	225.667	155.381	220.381	176.095	184.762	219.333	158.286	211.905	223	157.095	207.238	129.619	209.19	124.619	179.524
1571	151.476	174.048	222.381	162.619	309.19	190.381	314.381	172.476	246.048	168.476	207.048	183.095	180.524	198.571	208.429	187.238	150.952	237.571	188.571	230.381	193.857
1572	153.19	150.286	185.095	204.524	192.143	158.81	243	183.238	131.762	153.429	185.857	187.333	226.619	217.381	134.19	160.619	166.952	141.81	131.81	127.524	149.381
1573	148.048	100.857	161.381	104.952	140.143	138.81	173.857	116.429	164.143	95.2857	126.571	68.9048	160.095	147	80	127.19	117.667	133.619	138.286	127.524	142.19
1574	151.476	114.286	131.095	102.095	153.81	134.524	144.333	161.762	168.095	102.048	98.8571	152.619	127.905	149.381	97.1905	178	120.238	123.476	110.619	121.857	107.429
1575	145.286	153.333	148.333	209.619	157.238	74.9048	194.762	135.476	171.143	132.619	160.667	175.381	161.762	155.048	180.238	146.333	149.286	269.857	113.762	192.81	215.571
1576	227.571	218.333	222.381	178.762	220.524	179.81	227.714	203	238.667	203.81	208.048	215.952	219.429	200.81	195.952	245.286	214.143	257.429	195.619	306.524	194.81
1577	146.143	97.6667	83.4762	82.9524	130.238	85.9524	127.762	68.6667	88	117.286	149.095	106.619	137.857	159.571	68.2381	130.714	138.381	167.095	122.19	104.19	119.429
1578	245.619	189.476	148.333	159.905	195.667	174.524	261.714	181.476	191.571	179.619	201.81	241.048	166.19	140.19	151.429	220.381	185.429	197.571	191.571	230.381	250.714
1579	205.238	174.048	243.762	195.857	200	187.238	170.905	182.333	234.81	214.952	256.857	172.857	208.81	188.524	193.762	197.524	161.762	189.476	135.048	142.19	120.714
1580	312.19	248.095	258.429	207.857	211.619	260.905	209.667	178.714	257.571	166.524	235.619	242.952	208.048	251.952	189.333	187.238	246.095	219.286	158.81	167.667	177.048
1581	315.81	268.667	304.429	234.095	348.905	272	442.571	279.619	351.762	301.952	396.762	215.952	250.714	188.524	303.619	331.19	228.571	306.286	205.286	233.19	271.286
1582	401.714	438.619	374	284.333	320.381	299.143	352.857	289.762	450.571	345.762	367.048	248.905	264.952	337.762	327.714	442.667	292.429	439.19	294.095	319.095	270.095
1583	299.381	222.381	239.429	245.048	288.048	286.048	307.524	290.762	358.905	236.714	297.238	237.571	284.286	339.905	230.667	296.238	341.143	276.095	223.857	254.333	259.286
