probe_id	x	y	probe_type	probeset_id	probeset_type	block	Test3.CEL
6452	25	51	pm	AFFX-Athal-Actin_5_r_at	Expression	0	-464
2979	80	23	pm	AFFX-Athal-Actin_5_r_at	Expression	0	682
9556	105	75	pm	AFFX-Athal-Actin_5_r_at	Expression	0	-232
11028	65	87	pm	AFFX-Athal-Actin_5_r_at	Expression	0	-93
9303	104	73	pm	AFFX-Athal-Actin_5_r_at	Expression	0	-206
12755	28	101	pm	AFFX-Athal-Actin_5_r_at	Expression	0	154
14576	85	115	pm	AFFX-Athal-Actin_5_r_at	Expression	0	-582
14604	113	115	pm	AFFX-Athal-Actin_5_r_at	Expression	0	-1046
8707	12	69	pm	AFFX-Athal-Actin_5_r_at	Expression	0	-183
14769	26	117	pm	AFFX-Athal-Actin_5_r_at	Expression	0	-988
8484	41	67	pm	AFFX-Athal-Actin_5_r_at	Expression	0	-696
11031	68	87	pm	AFFX-Athal-Actin_5_r_at	Expression	0	218
12756	29	101	pm	AFFX-Athal-Actin_5_r_at	Expression	0	714
14603	112	115	pm	AFFX-Athal-Actin_5_r_at	Expression	0	-67
7739	52	61	pm	AFFX-Athal-Actin_5_r_at	Expression	0	-436
7259	76	57	pm	AFFX-Athal-Actin_5_r_at	Expression	0	321
3681	26	29	pm	AFFX-Athal-GAPDH_3_s_at	Expression	0	-346
14549	58	115	pm	AFFX-Athal-GAPDH_3_s_at	Expression	0	677
11299	84	89	pm	AFFX-Athal-GAPDH_3_s_at	Expression	0	-108
11300	85	89	pm	AFFX-Athal-GAPDH_3_s_at	Expression	0	8
6199	24	49	pm	AFFX-Athal-GAPDH_3_s_at	Expression	0	485
4503	92	35	pm	AFFX-Athal-GAPDH_3_s_at	Expression	0	441
8745	50	69	pm	AFFX-Athal-GAPDH_3_s_at	Expression	0	194
12513	38	99	pm	AFFX-Athal-GAPDH_3_s_at	Expression	0	309
12514	39	99	pm	AFFX-Athal-GAPDH_3_s_at	Expression	0	373
11747	28	93	pm	AFFX-Athal-GAPDH_3_s_at	Expression	0	35
11484	17	91	pm	AFFX-Athal-GAPDH_3_s_at	Expression	0	148
950	67	7	pm	AFFX-Athal-GAPDH_3_s_at	Expression	0	-95
15294	47	121	pm	AFFX-Athal-GAPDH_3_s_at	Expression	0	-26
15514	15	123	pm	AFFX-Athal-GAPDH_3_s_at	Expression	0	352
8452	9	67	pm	AFFX-Athal-GAPDH_3_s_at	Expression	0	644
11293	78	89	pm	AFFX-Athal-GAPDH_3_s_at	Expression	0	-64
1449	62	11	pm	AFFX-Athal-GAPDH_5_s_at	Expression	0	-372
14286	47	113	pm	AFFX-Athal-GAPDH_5_s_at	Expression	0	-618
13599	116	107	pm	AFFX-Athal-GAPDH_5_s_at	Expression	0	252
12768	41	101	pm	AFFX-Athal-GAPDH_5_s_at	Expression	0	170
4228	69	33	pm	AFFX-Athal-GAPDH_5_s_at	Expression	0	-1860
5538	119	43	pm	AFFX-Athal-GAPDH_5_s_at	Expression	0	-405
14847	104	117	pm	AFFX-Athal-GAPDH_5_s_at	Expression	0	314
14099	112	111	pm	AFFX-Athal-GAPDH_5_s_at	Expression	0	-145
6012	89	47	pm	AFFX-Athal-GAPDH_5_s_at	Expression	0	130
4471	60	35	pm	AFFX-Athal-GAPDH_5_s_at	Expression	0	274
2165	22	17	pm	AFFX-Athal-GAPDH_5_s_at	Expression	0	-811
8542	99	67	pm	AFFX-Athal-GAPDH_5_s_at	Expression	0	93
13082	103	103	pm	AFFX-Athal-GAPDH_5_s_at	Expression	0	18
2508	113	19	pm	AFFX-Athal-GAPDH_5_s_at	Expression	0	-490
5216	49	41	pm	AFFX-Athal-GAPDH_5_s_at	Expression	0	-32
2498	103	19	pm	AFFX-Athal-GAPDH_5_s_at	Expression	0	312
5730	59	45	pm	AFFX-Athal-GAPDH_M_s_at	Expression	0	552
7983	44	63	pm	AFFX-Athal-GAPDH_M_s_at	Expression	0	776
