probe_id	x	y	probe_type	probeset_id	probeset_type	block	huex_cerebellum.CEL	huex_heart.CEL	huex_muscle.CEL
146	17	4	pm	2590411	Expression	0	434	92	202
95	30	2	pm	2590411	Expression	0	89	36	54
350	29	10	pm	2590411	Expression	0	62	30	43
141	12	4	pm	2590411	Expression	0	111	35	60
492	11	15	pm	2609210	Expression	0	49	39	43
971	10	30	pm	2609210	Expression	0	27	35	32
608	31	18	pm	2609210	Expression	0	98	45	32
925	28	28	pm	2609210	Expression	0	114	35	35
362	9	11	pm	2616957	Expression	0	34	29	26
91	26	2	pm	2616957	Expression	0	44	46	34
1011	18	31	pm	2616957	Expression	0	28	28	30
762	25	23	pm	2616957	Expression	0	84	44	53
131	2	4	pm	2391254	Expression	0	105	41	52
214	21	6	pm	2391254	Expression	0	61	35	30
633	24	19	pm	2391254	Expression	0	25	29	29
664	23	20	pm	2391254	Expression	0	180	31	40
132	3	4	pm	2391254	Expression	0	367	126	611
126	29	3	pm	2653130	Expression	0	383	78	101
127	30	3	mm	2653130	Expression	0	138	51	67
517	4	16	pm	3442624	Expression	0	181	59	84
518	5	16	mm	3442624	Expression	0	27	25	31
988	27	30	pm	3499280	Expression	0	75	36	59
989	28	30	mm	3499280	Expression	0	70	51	163
944	15	29	pm	3499280	Expression	0	124	30	29
945	16	29	mm	3499280	Expression	0	716	58	159
477	28	14	pm	3506497	Expression	0	3312	1843	4278
478	29	14	mm	3506497	Expression	0	134	53	99
96	31	2	pm	2807653	Expression	0	161	37	52
125	28	3	pm	2807653	Expression	0	154	33	67
247	22	7	pm	2807653	Expression	0	848	367	527
778	9	24	pm	2807653	Expression	0	56	60	68
354	1	11	pm	2532280	Expression	0	33	30	30
554	9	17	pm	2532280	Expression	0	132	50	87
498	17	15	pm	2532280	Expression	0	60	36	62
11	10	0	pm	2532280	Expression	0	187	40	80
166	5	5	pm	3842613	Expression	0	486	150	237
563	18	17	pm	3842613	Expression	0	94	29	36
885	20	27	pm	3842613	Expression	0	101	39	73
382	29	11	pm	3842613	Expression	0	41	33	51
142	13	4	pm	3871433	Expression	0	36	30	28
669	28	20	pm	3871433	Expression	0	39	39	30
495	14	15	pm	3871433	Expression	0	73	28	29
246	21	7	pm	3871433	Expression	0	80	30	34
244	19	7	pm	3087946	Expression	0	34	29	28
56	23	1	pm	3087946	Expression	0	80	30	28
57	24	1	mm	3087946	Expression	0	128	42	61
831	30	25	pm	3087946	Expression	0	109	40	33
731	26	22	pm	3087946	Expression	0	57	38	40
485	4	15	pm	3234450	Expression	0	42	32	28
486	5	15	pm	3234450	Expression	0	98	40	37
474	25	14	pm	3234450	Expression	0	34	32	28
499	18	15	pm	3234450	Expression	0	54	38	37
462	13	14	pm	3452435	Expression	0	78	28	39
249	24	7	pm	3452435	Expression	0	106	40	38
737	0	23	pm	3452435	Expression	0	57	41	53
887	22	27	pm	3452435	Expression	0	38	31	26
725	20	22	pm	2580386	Expression	0	27	34	30
233	8	7	pm	2580386	Expression	0	160	60	38
556	11	17	pm	2580386	Expression	0	387	127	254
223	30	6	pm	2580386	Expression	0	62	34	93
533	20	16	pm	3949778	Expression	0	30	34	35
407	22	12	pm	3949778	Expression	0	38	27	35
573	28	17	pm	3949778	Expression	0	40	41	33
28	27	0	pm	3949778	Expression	0	35	62	27
841	8	26	pm	2689727	Expression	0	34	56	33
877	12	27	pm	2689727	Expression	0	35	42	36
32	31	0	pm	2689727	Expression	0	134	48	40
519	6	16	pm	2689727	Expression	0	29	29	35
537	24	16	pm	2846401	Expression	0	30	31	36
261	4	8	pm	2846401	Expression	0	37	28	32
117	20	3	pm	2846401	Expression	0	232	66	88
161	0	5	pm	2846401	Expression	0	127	46	61
184	23	5	pm	2385421	Expression	0	58	30	35
209	16	6	pm	2385421	Expression	0	873	243	660
238	13	7	pm	2385421	Expression	0	205	52	61
809	8	25	pm	2385421	Expression	0	39	31	34
239	14	7	pm	2992747	Expression	0	67	44	71
264	7	8	pm	2992747	Expression	0	137	34	33
178	17	5	pm	2992747	Expression	0	110	32	31
197	4	6	pm	2992747	Expression	0	4093	1365	4133
286	29	8	pm	3432063	Expression	0	32	32	39
893	28	27	pm	3432063	Expression	0	31	29	37
64	31	1	pm	3432063	Expression	0	56	33	41
337	16	10	pm	3432063	Expression	0	53	29	27
234	9	7	pm	2827457	Expression	0	81	31	37
769	0	24	pm	2827457	Expression	0	46	34	37
170	9	5	pm	2827457	Expression	0	65	33	31
547	2	17	pm	2827457	Expression	0	95	35	32
500	19	15	pm	3781635	Expression	0	219	80	204
334	13	10	pm	3781635	Expression	0	34	29	34
777	8	24	pm	3781635	Expression	0	31	37	30
483	2	15	pm	3781635	Expression	0	32	35	47
977	16	30	pm	3541146	Expression	0	31	24	29
418	1	13	pm	3541146	Expression	0	46	64	46
481	0	15	pm	3541146	Expression	0	145	38	87
371	18	11	pm	3541146	Expression	0	39	38	53
905	8	28	pm	3694750	Expression	0	63	34	34
574	29	17	pm	3694750	Expression	0	58	58	60
260	3	8	pm	3694750	Expression	0	444	131	132
640	31	19	pm	3694750	Expression	0	106	60	93
805	4	25	pm	2391484	Expression	0	270	41	47
792	23	24	pm	2391484	Expression	0	56	40	86
72	7	2	pm	2391484	Expression	0	48	33	34
813	12	25	pm	2391484	Expression	0	103	39	34
216	23	6	pm	2789573	Expression	0	46	32	40
99	2	3	pm	2789573	Expression	0	125	35	28
590	13	18	pm	2789573	Expression	0	87	49	80
65	0	2	pm	2789573	Expression	0	112	40	57
816	15	25	pm	3242460	Expression	0	43	34	36
347	26	10	pm	3242460	Expression	0	78	168	95
267	10	8	pm	3242460	Expression	0	296	115	149
446	29	13	pm	3242460	Expression	0	206	47	48
568	23	17	pm	2914721	Expression	0	104	52	51
31	30	0	pm	2914721	Expression	0	32	32	32
149	20	4	pm	2914721	Expression	0	34	44	28
363	10	11	pm	4032627	Expression	0	62	36	53
508	27	15	pm	4032627	Expression	0	1556	221	356
765	28	23	pm	4032627	Expression	0	47	33	33
576	31	17	pm	4032627	Expression	0	41	35	36
981	20	30	pm	3487540	Expression	0	84	28	48
878	13	27	pm	3487540	Expression	0	63	38	34
339	18	10	pm	3487540	Expression	0	61	40	66
950	21	29	pm	2409674	Expression	0	108	56	35
450	1	14	pm	2409674	Expression	0	35	31	32
101	4	3	pm	2409674	Expression	0	33	29	41
356	3	11	pm	2409674	Expression	0	543	131	233
405	20	12	pm	3888153	Expression	0	32	30	28
80	15	2	pm	3888153	Expression	0	58	31	45
1	0	0	pm	3888153	Expression	0	4084	1412	4309
886	21	27	pm	3888153	Expression	0	57	35	26
284	27	8	pm	3373107	Expression	0	75	41	44
772	3	24	pm	3373107	Expression	0	76	31	41
268	11	8	pm	3373107	Expression	0	29	34	38
262	5	8	pm	3373107	Expression	0	105	35	32
717	12	22	pm	2379846	Expression	0	41	40	36
130	1	4	pm	2379846	Expression	0	30	34	31
1001	8	31	pm	2379846	Expression	0	37	36	37
644	3	20	pm	2379846	Expression	0	119	57	57
360	7	11	pm	2506973	Expression	0	55	32	28
160	31	4	pm	2506973	Expression	0	2827	390	1252
336	15	10	pm	2506973	Expression	0	63	36	43
553	8	17	pm	2506973	Expression	0	51	35	35
891	26	27	pm	3198423	Expression	0	65	27	30
