probe_id	x	y	probe_type	probeset_id	probeset_type	block	huex_cerebellum.CEL	huex_heart.CEL	huex_muscle.CEL
126	29	3	pm	2653130	Expression	0	322	43	67
517	4	16	pm	3442624	Expression	0	120	24	50
477	28	14	pm	3506497	Expression	0	3251	1808	4244
290	1	9	pm	4056235	Expression	0	194	18	96
768	31	23	pm	4056235	Expression	0	-64	-13	6
542	29	16	pm	4057134	Expression	0	0	0	0
231	6	7	pm	4057134	Expression	0	-33	2	-5
695	22	21	pm	4057134	Expression	0	-10	-4	-4
804	3	25	pm	4087585	Expression	0	-29	-4	-0
584	7	18	pm	4087585	Expression	0	-53	-18	0
458	9	14	pm	4087585	Expression	0	53	10	76
585	8	18	pm	4087585	Expression	0	29	4	-4
