probe_id	x	y	probe_type	probeset_id	probeset_type	block	huex_cerebellum.CEL	huex_heart.CEL	huex_muscle.CEL
126	29	3	pm	2653130	Expression	0	383	78	101
517	4	16	pm	3442624	Expression	0	181	59	84
988	27	30	pm	3499280	Expression	0	75	36	59
944	15	29	pm	3499280	Expression	0	124	30	29
477	28	14	pm	3506497	Expression	0	3312	1843	4278
57	24	1	mm	3087946	Expression	0	128	42	61
233	8	7	pm	2580386	Expression	0	160	60	38
556	11	17	pm	2580386	Expression	0	387	127	254
573	28	17	pm	3949778	Expression	0	40	41	33
877	12	27	pm	2689727	Expression	0	35	42	36
32	31	0	pm	2689727	Expression	0	134	48	40
519	6	16	pm	2689727	Expression	0	29	29	35
905	8	28	pm	3694750	Expression	0	63	34	34
574	29	17	pm	3694750	Expression	0	58	58	60
568	23	17	pm	2914721	Expression	0	104	52	51
1	0	0	pm	3888153	Expression	0	4084	1412	4309
87	22	2	pm	3198423	Expression	0	166	42	79
36	3	1	pm	3198423	Expression	0	80	40	45
145	16	4	pm	3198423	Expression	0	49	31	36
129	0	4	mm	4056224	Expression	0	268	69	72
