#%guid=0000008635-1147465503-0655288913-0260172332-1489521149
#%exec_guid=0000008635-1147465503-1723228888-0762909110-1077155963
#%exec_version=apt-1.4.0 $Id: exon.summary.txt,v 1.1 2006-05-22 21:58:11 pklost Exp $
#%create_date=Fri May 12 13:18:36 2006
#%cmd=apt-probeset-summarize -a pm-gcbg,iter-plier -a pm-gcbg,plier -o now -report -p HuEx-1_0-st-v2.pgf -c HuEx-1_0-st-v2.clf -b antigenomic.bgp -f huex_wta_lung_A.CEL huex_wta_cerebellum_A.CEL huex_wta_heart_A.CEL huex_wta_kidney_A.CEL huex_wta_liver_A.CEL huex_wta_muscle_A.CEL huex_wta_pancreas_A.CEL huex_wta_prostate_A.CEL huex_wta_spleen_A.CEL huex_wta_testes_A.CEL huex_wta_thyroid_A.CEL huex_wta_tissue_mix1_A.CEL huex_wta_tissue_mix2_A.CEL huex_wta_tissue_mix3_A.CEL huex_wta_tissue_mix4_A.CEL 
#%chip_type=HuEx-1_0-st-v2
#%lib_set_name=HuEx-1_0-st
#%lib_set_version=v2
############################################################
probeset_id	huex_wta_lung_A.CEL	huex_wta_cerebellum_A.CEL	huex_wta_heart_A.CEL	huex_wta_kidney_A.CEL	huex_wta_liver_A.CEL	huex_wta_muscle_A.CEL	huex_wta_pancreas_A.CEL	huex_wta_prostate_A.CEL	huex_wta_spleen_A.CEL	huex_wta_testes_A.CEL	huex_wta_thyroid_A.CEL	huex_wta_tissue_mix1_A.CEL	huex_wta_tissue_mix2_A.CEL	huex_wta_tissue_mix3_A.CEL	huex_wta_tissue_mix4_A.CEL
2590411	5	12	2	3	15	9	5	8	4	40	16	17	15	11	11
2609210	3	6	12	9	5	6	3	4	1	28	12	22	6	13	14
2616957	16	93	5	30	22	6	23	29	13	26	20	61	56	41	58
2391254	6	25	2	11	14	9	15	0	5	6	4	19	30	18	23
3499280	3	13	2	11	3	5	1	1	0	1	11	1	0	2	2
2807653	6	10	0	0	5	0	0	4	6	14	11	3	8	8	3
2532280	4	27	2	11	18	12	24	8	8	23	28	10	24	19	18
3842613	11	22	12	11	11	1	4	7	4	11	33	10	21	8	16
3871433	26	225	24	25	70	26	77	30	43	44	51	78	143	37	106
3087946	4	9	4	0	5	1	6	3	1	5	1	9	6	10	0
3234450	3	7	0	1	0	0	3	0	2	1	2	3	4	2	0
3452435	6	23	9	57	3496	432	260	16	19	21	95	12	8	10	12
2580386	4	27	4	6	4	2	6	7	2	18	10	9	14	12	10
3949778	23	107	9	17	48	182	88	23	85	141	283	11	27	12	172
2689727	7	50	1	10	19	4	9	6	1	7	12	16	10	10	12
2846401	20	60	9	14	35	34	43	38	9	43	47	40	47	46	25
2385421	9	21	0	8	5	6	2	1	3	10	7	11	16	14	8
2992747	3	8	1	6	9	1	5	2	3	9	4	9	8	7	9
3432063	5	67	14	39	49	27	18	11	17	47	33	47	45	31	51
2827457	11	104	10	14	27	11	6	3	15	27	17	49	51	28	25
3781635	5	3	3	5	5	2	8	5	5	2	8	10	4	2	5
3541146	81	410	171	51	371	350	183	45	310	480	343	382	269	202	285
3694750	2	41	2	6	5	3	3	13	25	9	0	27	21	7	19
2391484	221	205	96	96	220	230	179	213	197	368	378	204	166	167	242
2789573	3	15	2	6	1	3	4	2	2	9	4	2	3	4	4
3242460	1	21	0	4	3	3	0	1	0	16	0	10	15	2	7
2914721	3	2	0	1	7	5	19	5	6	3	4	14	3	0	9
4032627	1	2	1	0	4	1	0	0	0	0	2	1	0	1	8
3487540	10	2	6	3	20	15	6	0	7	24	17	20	23	3	8
2409674	7	47	3	5	17	0	8	5	1	5	7	17	15	13	12
3888153	50	448	139	118	218	106	114	25	185	923	225	709	495	327	312
3373107	0	5	4	0	0	2	0	2	3	756	7	363	156	184	102
2379846	3	1	0	2	1	1	3	2	0	0	0	0	4	0	0
2506973	6	57	1	9	5	1	5	4	3	15	2	27	19	14	23
3198423	3	170	1	6	2	0	3	0	0	8	2	62	99	35	77
3525559	34	278	78	104	178	95	89	43	179	199	148	229	183	129	189
3511823	1	0	2	0	0	0	0	0	5	3	0	0	0	0	0
3442337	2	15	0	2	1	3	4	2	2	24	5	30	18	12	13
3413163	0	7	3	0	3	1	3	0	2	1	4	1	1	5	0
3037838	4	2	2	7	1	4	5	7	0	7	5	1	3	8	3
2844443	4	87	2	2	14	8	5	6	2	5	12	21	37	26	35
2336170	267	693	229	524	1425	1148	433	237	502	777	1008	638	524	441	475
3301701	5	13	2	6	6	1	2	1	0	0	5	7	9	1	3
2413227	0	4	0	1	2	1	0	1	0	0	3	1	0	2	0
3839239	0	37	11	2	21	50	5	6	7	7	38	16	6	5	13
3227647	5	269	28	58	139	152	49	14	77	109	123	201	140	104	175
3839369	2	11	4	0	0	867	0	26	2	3	67	5	4	8	6
3876257	5	416	6	0	5	7	27	1	8	5	4	146	212	95	161
3029170	8	7	6	11	5	5	8	5	17	22	6	8	16	9	5
3723703	14	55	14	8	32	13	21	10	34	44	9	38	52	38	48
2849826	4	11	5	0	0	2	1	9	3	15	1	13	10	5	8
3047225	4	36	4	0	11	1	9	0	1	13	23	10	15	7	4
2534215	19	90	3	10	20	12	24	7	31	38	41	49	58	37	72
2620456	362	910	361	493	802	597	817	356	507	652	732	627	710	611	714
2830090	0	1	0	0	4	3	3	1	0	0	0	0	0	0	0
