#%guid=0000008635-1147465503-0655288913-0260172332-1489521149 0
#%exec_guid=0000008635-1147465503-1723228888-0762909110-1077155963 0
#%exec_version=apt-1.4.0 $Id: exon.summary0.txt,v 1.1 2006-05-22 21:58:11 pklost Exp $ 0
#%create_date=Fri May 12 13:18:36 2006 0
#%cmd=apt-probeset-summarize -a pm-gcbg,iter-plier -a pm-gcbg,plier -o now -report -p HuEx-1_0-st-v2.pgf -c HuEx-1_0-st-v2.clf -b antigenomic.bgp -f huex_wta_lung_A.CEL huex_wta_cerebellum_A.CEL huex_wta_heart_A.CEL huex_wta_kidney_A.CEL huex_wta_liver_A.CEL huex_wta_muscle_A.CEL huex_wta_pancreas_A.CEL huex_wta_prostate_A.CEL huex_wta_spleen_A.CEL huex_wta_testes_A.CEL huex_wta_thyroid_A.CEL huex_wta_tissue_mix1_A.CEL huex_wta_tissue_mix2_A.CEL huex_wta_tissue_mix3_A.CEL huex_wta_tissue_mix4_A.CEL  0
#%chip_type=HuEx-1_0-st-v2 0
#%lib_set_name=HuEx-1_0-st 0
#%lib_set_version=v2 0
############################################################ 0
probeset_id	huex_wta_lung_A0.CEL	huex_wta_cerebellum_A0.CEL	huex_wta_heart_A0.CEL	huex_wta_kidney_A0.CEL	huex_wta_liver_A0.CEL	huex_wta_muscle_A0.CEL	huex_wta_pancreas_A0.CEL	huex_wta_prostate_A0.CEL	huex_wta_spleen_A0.CEL	huex_wta_testes_A0.CEL	huex_wta_thyroid_A0.CEL	huex_wta_tissue_mix1_A0.CEL	huex_wta_tissue_mix2_A0.CEL	huex_wta_tissue_mix3_A0.CEL	huex_wta_tissue_mix4_A0.CEL
2590411	50	120	20	30	150	90	50	80	40	400	160	170	150	110	110
2609210	30	60	120	90	50	60	30	40	10	280	120	220	60	130	140
2616957	160	930	50	300	220	60	230	290	130	260	200	610	560	410	580
2391254	60	250	20	110	140	90	150	0	50	60	40	190	300	180	230
3499280	30	130	20	110	30	50	10	10	0	10	110	10	0	20	20
2807653	60	100	0	0	50	0	0	40	60	140	110	30	80	80	30
2532280	40	270	20	110	180	120	240	80	80	230	280	100	240	190	180
3842613	110	220	120	110	110	10	40	70	40	110	330	100	210	80	160
3871433	260	2250	240	250	700	260	770	300	430	440	510	780	1430	370	1060
3087946	40	90	40	0	50	10	60	30	10	50	10	90	60	100	0
3234450	30	70	0	10	0	0	30	0	20	10	20	30	40	20	0
3452435	60	230	90	570	34960	4320	2600	160	190	210	950	120	80	100	120
2580386	40	270	40	60	40	20	60	70	20	180	100	90	140	120	100
3949778	230	1070	90	170	480	1820	880	230	850	1410	2830	110	270	120	1720
2689727	70	500	10	100	190	40	90	60	10	70	120	160	100	100	120
2846401	200	600	90	140	350	340	430	380	90	430	470	400	470	460	250
2385421	90	210	0	80	50	60	20	10	30	100	70	110	160	140	80
2992747	30	80	10	60	90	10	50	20	30	90	40	90	80	70	90
3432063	50	670	140	390	490	270	180	110	170	470	330	470	450	310	510
2827457	110	1040	100	140	270	110	60	30	150	270	170	490	510	280	250
3781635	50	30	30	50	50	20	80	50	50	20	80	100	40	20	50
3541146	810	4100	1710	510	3710	3500	1830	450	3100	4800	3430	3820	2690	2020	2850
3694750	20	410	20	60	50	30	30	130	250	90	0	270	210	70	190
2391484	2210	2050	960	960	2200	2300	1790	2130	1970	3680	3780	2040	1660	1670	2420
2789573	30	150	20	60	10	30	40	20	20	90	40	20	30	40	40
3242460	10	210	0	40	30	30	0	10	0	160	0	100	150	20	70
2914721	30	20	0	10	70	50	190	50	60	30	40	140	30	0	90
4032627	10	20	10	0	40	10	0	0	0	0	20	10	0	10	80
3487540	100	20	60	30	200	150	60	0	70	240	170	200	230	30	80
2409674	70	470	30	50	170	0	80	50	10	50	70	170	150	130	120
3888153	500	4480	1390	1180	2180	1060	1140	250	1850	9230	2250	7090	4950	3270	3120
3373107	0	50	40	0	0	20	0	20	30	7560	70	3630	1560	1840	1020
2379846	30	10	0	20	10	10	30	20	0	0	0	0	40	0	0
2506973	60	570	10	90	50	10	50	40	30	150	20	270	190	140	230
3198423	30	1700	10	60	20	0	30	0	0	80	20	620	990	350	770
3525559	340	2780	780	1040	1780	950	890	430	1790	1990	1480	2290	1830	1290	1890
3511823	10	0	20	0	0	0	0	0	50	30	0	0	0	0	0
3442337	20	150	0	20	10	30	40	20	20	240	50	300	180	120	130
3413163	0	70	30	0	30	10	30	0	20	10	40	10	10	50	0
3037838	40	20	20	70	10	40	50	70	0	70	50	10	30	80	30
2844443	40	870	20	20	140	80	50	60	20	50	120	210	370	260	350
2336170	2670	6930	2290	5240	14250	11480	4330	2370	5020	7770	10080	6380	5240	4410	4750
3301701	50	130	20	60	60	10	20	10	0	0	50	70	90	10	30
2413227	0	40	0	10	20	10	0	10	0	0	30	10	0	20	0
3839239	0	370	110	20	210	500	50	60	70	70	380	160	60	50	130
3227647	50	2690	280	580	1390	1520	490	140	770	1090	1230	2010	1400	1040	1750
3839369	20	110	40	0	0	8670	0	260	20	30	670	50	40	80	60
3876257	50	4160	60	0	50	70	270	10	80	50	40	1460	2120	950	1610
3029170	80	70	60	110	50	50	80	50	170	220	60	80	160	90	50
3723703	140	550	140	80	320	130	210	100	340	440	90	380	520	380	480
2849826	40	110	50	0	0	20	10	90	30	150	10	130	100	50	80
3047225	40	360	40	0	110	10	90	0	10	130	230	100	150	70	40
2534215	190	900	30	100	200	120	240	70	310	380	410	490	580	370	720
2620456	3620	9100	3610	4930	8020	5970	8170	3560	5070	6520	7320	6270	7100	6110	7140
