#%guid=0000008635-1147465503-0655288913-0260172332-1489521149 1
#%exec_guid=0000008635-1147465503-1723228888-0762909110-1077155963 1
#%exec_version=apt-1.4.0 $Id: exon.summary1.txt,v 1.2 2006-07-17 21:53:07 awilli Exp $ 1
#%create_date=Fri May 12 13:18:36 2006 1
#%cmd=apt-probeset-summarize -a pm-gcbg,iter-plier -a pm-gcbg,plier -o now -report -p HuEx-1_0-st-v2.pgf -c HuEx-1_0-st-v2.clf -b antigenomic.bgp -f huex_wta_lung_A.CEL huex_wta_cerebellum_A.CEL huex_wta_heart_A.CEL huex_wta_kidney_A.CEL huex_wta_liver_A.CEL huex_wta_muscle_A.CEL huex_wta_pancreas_A.CEL huex_wta_prostate_A.CEL huex_wta_spleen_A.CEL huex_wta_testes_A.CEL huex_wta_thyroid_A.CEL huex_wta_tissue_mix1_A.CEL huex_wta_tissue_mix2_A.CEL huex_wta_tissue_mix3_A.CEL huex_wta_tissue_mix4_A.CEL  1
#%chip_type=HuEx-1_0-st-v2 1
#%lib_set_name=HuEx-1_0-st 1
#%lib_set_version=v2 1
############################################################ 1
probeset_id	huex_wta_lung_A1.CEL	huex_wta_cerebellum_A1.CEL	huex_wta_heart_A1.CEL	huex_wta_kidney_A1.CEL	huex_wta_muscle_A1.CEL	huex_wta_pancreas_A1.CEL	huex_wta_prostate_A1.CEL	huex_wta_spleen_A1.CEL	huex_wta_thyroid_A1.CEL	huex_wta_tissue_mix1_A1.CEL	huex_wta_tissue_mix2_A1.CEL	huex_wta_tissue_mix3_A1.CEL	huex_wta_tissue_mix4_A1.CEL
2590411	51	121	21	31	91	51	81	41	161	171	151	111	111
2609210	31	61	121	91	61	31	41	11	121	221	61	131	141
2616957	161	931	51	301	61	231	291	131	201	611	561	411	581
2391254	61	251	21	111	91	151	1	51	41	191	301	181	231
3499280	31	131	21	111	51	11	11	1	111	11	1	21	21
2807653	61	101	1	1	1	1	41	61	111	31	81	81	31
2532280	41	271	21	111	121	241	81	81	281	101	241	191	181
3842613	111	221	121	111	11	41	71	41	331	101	211	81	161
3871433	261	2251	241	251	261	771	301	431	511	781	1431	371	1061
3087946	41	91	41	1	11	61	31	11	11	91	61	101	1
3234450	31	71	1	11	1	31	1	21	21	31	41	21	1
3452435	61	231	91	571	4321	2601	161	191	951	121	81	101	121
2580386	41	271	41	61	21	61	71	21	101	91	141	121	101
3949778	231	1071	91	171	1821	881	231	851	2831	111	271	121	1721
2689727	71	501	11	101	41	91	61	11	121	161	101	101	121
2846401	201	601	91	141	341	431	381	91	471	401	471	461	251
2385421	91	211	1	81	61	21	11	31	71	111	161	141	81
2992747	31	81	11	61	11	51	21	31	41	91	81	71	91
3432063	51	671	141	391	271	181	111	171	331	471	451	311	511
2827457	111	1041	101	141	111	61	31	151	171	491	511	281	251
3781635	51	31	31	51	21	81	51	51	81	101	41	21	51
3541146	811	4101	1711	511	3501	1831	451	3101	3431	3821	2691	2021	2851
3694750	21	411	21	61	31	31	131	251	1	271	211	71	191
2391484	2211	2051	961	961	2301	1791	2131	1971	3781	2041	1661	1671	2421
2789573	31	151	21	61	31	41	21	21	41	21	31	41	41
3242460	11	211	1	41	31	1	11	1	1	101	151	21	71
2914721	31	21	1	11	51	191	51	61	41	141	31	1	91
4032627	11	21	11	1	11	1	1	1	21	11	1	11	81
3487540	101	21	61	31	151	61	1	71	171	201	231	31	81
2409674	71	471	31	51	1	81	51	11	71	171	151	131	121
3888153	501	4481	1391	1181	1061	1141	251	1851	2251	7091	4951	3271	3121
3373107	1	51	41	1	21	1	21	31	71	3631	1561	1841	1021
2379846	31	11	1	21	11	31	21	1	1	1	41	1	1
2506973	61	571	11	91	11	51	41	31	21	271	191	141	231
3198423	31	1701	11	61	1	31	1	1	21	621	991	351	771
3525559	341	2781	781	1041	951	891	431	1791	1481	2291	1831	1291	1891
3511823	11	1	21	1	1	1	1	51	1	1	1	1	1
3442337	21	151	1	21	31	41	21	21	51	301	181	121	131
3413163	1	71	31	1	11	31	1	21	41	11	11	51	1
3037838	41	21	21	71	41	51	71	1	51	11	31	81	31
2844443	41	871	21	21	81	51	61	21	121	211	371	261	351
2336170	2671	6931	2291	5241	11481	4331	2371	5021	10081	6381	5241	4411	4751
3301701	51	131	21	61	11	21	11	1	51	71	91	11	31
2413227	1	41	1	11	11	1	11	1	31	11	1	21	1
3839239	1	371	111	21	501	51	61	71	381	161	61	51	131
3227647	51	2691	281	581	1521	491	141	771	1231	2011	1401	1041	1751
3839369	21	111	41	1	8671	1	261	21	671	51	41	81	61
3876257	51	4161	61	1	71	271	11	81	41	1461	2121	951	1611
3029170	81	71	61	111	51	81	51	171	61	81	161	91	51
3723703	141	551	141	81	131	211	101	341	91	381	521	381	481
2849826	41	111	51	1	21	11	91	31	11	131	101	51	81
3047225	41	361	41	1	11	91	1	11	231	101	151	71	41
2534215	191	901	31	101	121	241	71	311	411	491	581	371	721
2620456	3621	9101	3611	4931	5971	8171	3561	5071	7321	6271	7101	6111	7141
2830090	1	11	1	1	31	31	11	1	1	1	1	1	1
2575215	291	2501	441	771	1141	731	431	761	1141	3311	2711	2321	2001
2849041	21	91	11	171	11	61	1	21	51	111	71	111	31
3102546	151	881	91	231	321	361	91	161	221	641	611	441	761
2925428	11	1	1	1	11	21	11	11	81	21	1	11	1
2372272	4531	26311	1741	8801	4771	9931	5371	5611	6931	13651	16501	10931	16241
3360788	81	1841	101	81	491	291	311	671	551	1471	1311	1001	1081
3443892	131	311	71	111	91	31	441	211	391	121	171	101	41
3298798	51	561	21	211	121	151	101	161	151	331	421	231	261
3019819	121	241	71	71	181	191	121	91	111	81	91	41	181
3173936	11	81	11	51	31	21	31	41	11	81	31	41	41
2424908	61	131	91	151	21	71	91	31	111	61	51	41	51
2950903	1	81	11	11	51	1	11	1	231	21	1	1	11
2857391	71	101	61	81	51	71	91	71	191	61	101	111	131
3742899	61	121	41	101	31	81	1	91	31	11	281	81	171
2571091	31	1071	51	61	211	161	61	131	221	631	411	241	631
3255478	21	591	41	31	1	51	61	71	101	141	241	101	121
3122387	101	541	101	131	121	301	71	141	141	481	341	291	471
3195817	2121	10361	941	3511	2201	2411	3101	4211	2561	8691	6871	5001	6321
2944655	11	1	1	41	51	41	21	11	1	1	1	11	31
2317746	1	1	1	1	1	1	1	1	1	1	131	31	51
2383539	221	851	101	241	101	181	31	311	451	531	411	211	391
2817630	1	51	21	1	11	1	1	11	31	1	1	21	11
3860875	1	201	21	21	11	41	41	51	61	131	101	61	111
2876363	61	251	21	31	911	151	91	21	2201	171	261	61	71
3239787	361	331	81	11	121	141	171	4151	431	201	151	91	161
4021253	11	1	1	1	11	11	51	11	1	1	1	11	21
3700367	321	1031	251	121	311	801	471	431	471	691	791	671	491
4003189	1	41	1	1	1	11	1	11	1	11	31	1	1
