#%create_date=Wed Jun  1 16:28:12 2005
probeset_id	type	probeset_name
2336170	main	204081118_st
2372272	main	204146783_x_st
2379846	main	204160889_st
2385421	main	204170926_st
2391254	main	204181092_st
2391484	main	204181514_st
2409674	main	204215127_st
2413227	main	204221250_x_st
2506973	main	206476790_st
2532280	main	206523146_s_st
2534215	main	206526787_x_st
2575215	main	206601258_st
2580386	main	206610175_st
2590411	main	206628163_st
2609210	main	205833559_st
2616957	main	205847711_st
2620456	main	205853714_x_st
3234450	main	205575685_x_st
3242460	main	205589852_st
3298798	main	205720568_st
3301701	main	205735926_st
3360788	main	205498983_x_st
3373107	main	205521273_st
3413163	main	204793496_st
3432063	main	204828725_st
3442337	main	204847549_st
3443892	main	204850384_st
3452435	main	204866004_st
3487540	main	203707960_st
3499280	main	203729205_st
3511823	main	203751715_st
3525559	main	203776687_st
3541146	main	203518237_st
3694750	main	205812065_x_st
3723703	main	205173700_st
3781635	main	204600348_x_st
3839239	main	204358380_st
3839369	main	204358673_st
3842613	main	204364136_st
3871433	main	204416923_st
3876257	main	203782784_st
3888153	main	203804983_st
3949778	main	203629112_st
4032627	main	204877584_st
4056223	control->bgp->genomic	10676381_x_at
4056224	control->bgp->genomic	17060399_x_at
4056225	internal->HG-U133-2.0->redo-coverage	244567_st
