#%guid=00005fb3-3ec4-44f3-5331-000549005afb
#%affymetrix-algorithm-param-apt-engine=ProbesetSummarizeEngine
#%affymetrix-algorithm-param-apt-program-name=apt-probeset-summarize.exe
#%affymetrix-algorithm-param-apt-command-line=c:\apt-test-data\apt-testing\regression\releases\2009-06-04_apt-head\win32\apt-probeset-summarize.exe -a mas5-bg,quant-norm,pm-mm,sea,pca-select -o ./output_2009-06-04_apt-head_win32/anal_options_15 -d ../../../../regression-data/lib/HG-U133_Plus_2/HG-U133_Plus_2.cdf ../../../../regression-data/cel/HG-U133_Plus_2/4221B_a01.CEL ../../../../regression-data/cel/HG-U133_Plus_2/4221B_b01.CEL ../../../../regression-data/cel/HG-U133_Plus_2/4221B_c01.CEL ../../../../regression-data/cel/HG-U133_Plus_2/4221H_a02.CEL ../../../../regression-data/cel/HG-U133_Plus_2/4221H_b02.CEL
#%affymetrix-algorithm-param-apt-exec-guid=00001705-03a7-4fa1-6988-0008020076f6
#%affymetrix-algorithm-param-apt-analysis-guid=00002204-6606-48eb-4ce9-006e98002583
#%affymetrix-algorithm-param-apt-time-str=Wed Aug 26 14:31:18 2009
#%affymetrix-algorithm-param-apt-version=NON-OFFICIAL-RELEASE $Id: apt-probeset-summarize.cpp,v 1.169 2009/05/28 06:15:27 awilli Exp $
#%affymetrix-algorithm-param-apt-cvs-id=$Id: apt-probeset-summarize.cpp,v 1.169 2009/05/28 06:15:27 awilli Exp $
#%affymetrix-algorithm-param-apt-free-mem=2086421299
#%affymetrix-algorithm-param-apt-opt-do-ps-names=true
#%affymetrix-algorithm-param-apt-opt-chip-type=HG-U133_Plus_2
#%affymetrix-algorithm-param-apt-opt-probe-count=1354896
#%affymetrix-algorithm-param-apt-opt-force=false
#%affymetrix-algorithm-param-apt-opt-precision=5
#%affymetrix-algorithm-param-apt-opt-out-dir=./output_2009-06-04_apt-head_win32/anal_options_15
#%affymetrix-algorithm-param-apt-opt-cc-expr-chp-out-dir=
#%affymetrix-algorithm-param-apt-opt-cc-md-chp-out-dir=
#%affymetrix-algorithm-param-apt-opt-xda-chp-out-dir=
#%affymetrix-algorithm-param-apt-opt-cdf-file=HG-U133_Plus_2.cdf
#%affymetrix-algorithm-param-apt-opt-spf-file=
#%affymetrix-algorithm-param-apt-opt-pgf-file=
#%affymetrix-algorithm-param-apt-opt-clf-file=
#%affymetrix-algorithm-param-apt-opt-bgp-file=
#%affymetrix-algorithm-param-apt-opt-ps-list-file=
#%affymetrix-algorithm-param-apt-opt-meta-ps-file=
#%affymetrix-algorithm-param-apt-opt-qc-groups-file=
#%affymetrix-algorithm-param-apt-opt-kill-list=
#%affymetrix-algorithm-param-apt-opt-temp-dir=./output_2009-06-04_apt-head_win32/anal_options_15\temp
#%affymetrix-algorithm-param-apt-opt-diskCache=50
#%affymetrix-algorithm-param-apt-opt-cel-count=5
#%affymetrix-algorithm-param-apt-opt-cel-1=4221B_a01.CEL
#%affymetrix-algorithm-param-apt-opt-cel-2=4221B_b01.CEL
#%affymetrix-algorithm-param-apt-opt-cel-3=4221B_c01.CEL
#%affymetrix-algorithm-param-apt-opt-cel-4=4221H_a02.CEL
#%affymetrix-algorithm-param-apt-opt-cel-5=4221H_b02.CEL
#%affymetrix-algorithm-param-apt-opt-analysis-name=mas5-bg.quant-norm.pm-mm.sea.pca-select
#%affymetrix-algorithm-param-apt-opt-set-analysis-name=
#%affymetrix-algorithm-param-apt-opt-analysis-spec=mas5-bg,quant-norm.sketch=-1.bioc=false.lowprecision=false.usepm=false.target=0.doavg=false.subsetmd5=d41d8cd98f00b204e9800998ecf8427e,pm-mm,sea.optmethod=1.atten=0.005.InitAugmentation=0.1.InitDefaultFeatureResponse=1.0.InitDefaultTargetResponse=1.0.SeaOptConvergence=0.000001.SeaOptIteration=2000.PlierGmCutoff=0.15.PlierDifferentialFeaturePenalty=0.001.PlierDifferentialTargetPenalty=0.000001.PlierUseMMLikelihood=true.PlierUseInputModel=false.PlierFitFeatureResponse=false.PlierOptConvergence=0.000001.PlierOptIteration=3000.PlierOptDropMax=3.0.PlierOptLambdaLimit=0.01.PlierOptOptimizationMethod=0.PlierOptBalanceMethod=0.FixPrecomputed=true.NumericalTolerance=0.1.SafetyZero=0.000001.FixFeatureEffect=false,pca-select.log=true.debug=false.corr=false.info-criterion=aic.hard-min=4.min-percent=0.2.qnorm-only=true
#%affymetrix-algorithm-param-apt-opt-feat-effect-file=
#%affymetrix-algorithm-param-apt-opt-target-sketch-file=
#%affymetrix-algorithm-param-apt-opt-do-residuals=false
#%affymetrix-algorithm-param-apt-opt-do-feature-effects=false
#%affymetrix-algorithm-param-apt-opt-write-sketch=false
#%affymetrix-algorithm-param-quantification-name=sea
#%affymetrix-algorithm-param-quantification-version=2.0
#%affymetrix-algorithm-param-quantification-scale=linear
#%affymetrix-algorithm-param-quantification-type=signal
probeset_id	4221B_a01.CEL	4221B_b01.CEL	4221B_c01.CEL	4221H_a02.CEL	4221H_b02.CEL
AFFX-HSAC07/X00351_M_at	2536.04598	2574.35379	2681.86645	1015.42532	991.48830
AFFX-HSAC07/X00351_3_at	2252.49964	2229.49398	2011.96392	1019.97811	1008.31050
AFFX-M27830_5_at	96.81096	67.91888	82.56211	164.41888	149.21661
AFFX-M27830_M_at	269.42941	246.80220	283.03860	498.15754	569.77195
AFFX-M27830_3_at	12.66717	12.71074	11.03970	22.33372	18.53140
AFFX-hum_alu_at	6627.89643	6699.64195	6764.04938	4104.07452	3962.90890
1007_s_at	571.72101	521.17365	453.55413	52.02693	65.32889
1053_at	58.99960	65.06818	44.58856	26.80445	24.07796
117_at	3.15246	16.33275	19.23873	36.74063	74.58411
121_at	63.36545	78.41310	51.37179	75.96834	77.21448
1255_g_at	16.09120	15.29180	14.88466	0.25182	3.00299
1294_at	23.29586	68.67548	40.08859	85.85265	88.62469
1316_at	30.74323	31.59868	21.57929	20.12308	24.15667
1320_at	10.70593	8.79937	10.53755	14.53549	44.01950
1405_i_at	2.08898	4.83497	1.70882	7.31555	27.65842
1431_at	27.29548	22.50836	14.34248	0.17651	1.08483
1438_at	9.79709	11.00740	15.40638	3.76756	4.16853
1487_at	39.46608	35.88594	30.45346	140.18054	139.53202
1494_f_at	16.88432	13.43967	11.56407	25.22928	38.17711
1598_g_at	133.02836	138.05555	133.35042	516.79453	486.92668
160020_at	120.48571	131.57617	107.82374	124.74664	111.85724
1729_at	45.95728	45.11500	34.93034	1.68184	18.07957
1773_at	60.06803	63.91734	49.83276	27.52283	33.24259
177_at	21.23773	18.62195	26.47476	26.03228	28.77000
179_at	44.26086	53.16114	17.53151	235.50593	94.01111
1861_at	110.84447	96.90591	94.05195	53.77629	28.64082
206400_at	12.23838	9.64867	2.51679	2.37272	6.40916
206401_s_at	274.23771	289.43945	278.92449	8.28853	1.14066
206402_s_at	7.66205	5.52293	5.75125	4.21192	5.31830
206403_at	210.15026	185.76911	170.34777	6.18205	2.62428
206404_at	127.49115	129.17787	111.36997	68.92411	94.72386
206405_x_at	317.63584	353.71321	267.54051	49.98082	42.32185
206406_at	2.75164	1.51522	1.96053	1.59304	2.98844
206407_s_at	12.44966	8.11714	12.16807	25.77599	27.17804
206408_at	345.08696	373.71050	287.94298	0.32078	0.94642
206409_at	49.23421	45.14246	48.11369	8.63719	0.70016
206410_at	6.64838	9.00238	3.57100	25.03122	31.16672
206411_s_at	6.90861	7.00080	4.03896	3.07580	0.95526
206412_at	36.45740	30.06090	24.10365	1.54066	20.83804
206413_s_at	6.47117	3.39487	7.58365	6.00954	4.26150
206414_s_at	193.78085	206.62804	196.83386	41.14582	36.08021
206415_at	0.87400	10.71448	7.71205	1.39686	4.47413
206416_at	1.94303	5.25639	2.44648	6.23239	6.21879
206417_at	5.17920	6.02195	6.70015	11.22687	5.84438
206418_at	4.30523	1.59976	31.10308	4.80225	8.07730
206419_at	13.63602	25.54436	20.27868	54.84662	70.23192
206420_at	6.17326	1.20492	16.77035	1.21618	12.39793
206421_s_at	1.08655	1.79243	0.70725	1.03962	0.81463
206422_at	1.38833	10.93303	0.97418	2.31623	2.44448
206423_at	5.67286	5.10758	2.47701	5.87264	7.58488
206424_at	34.59450	32.63187	49.11132	9.77926	6.59866
206425_s_at	20.42876	12.75674	15.36019	10.24389	10.32947
206426_at	19.26493	20.83004	5.58745	3.02068	2.98732
206427_s_at	18.29519	12.32170	13.82739	26.69265	31.99731
206428_s_at	2.91942	8.07592	3.01286	12.68979	75.19548
206429_at	14.52290	13.01726	13.63416	19.32798	53.49761
206430_at	8.37857	6.37291	7.61641	3.69487	5.02441
206431_x_at	276.66979	259.15203	314.10722	104.51664	89.13222
206432_at	9.36786	2.36409	12.50673	5.71827	9.13186
206433_s_at	183.92390	130.80470	128.40879	2.27897	1.30688
206434_at	322.16284	306.96701	307.56230	3.24986	0.44978
206435_at	145.57340	160.48986	142.87287	10.10080	36.59083
206436_at	125.86472	137.99493	119.28752	2.21425	0.62305
206437_at	17.49501	41.90217	35.57718	80.59385	76.37046
206438_x_at	88.04316	56.10330	99.80415	139.41581	294.25645
206439_at	1.94161	3.95034	1.64052	8.01798	1.03643
206440_at	16.46129	10.43810	2.08894	12.54876	6.01556
206441_s_at	103.06398	88.07562	108.21895	47.46070	42.07578
206442_at	3.41636	1.40606	5.01217	3.60703	3.91081
206443_at	31.99898	25.61312	24.79009	9.02885	6.25206
206444_at	50.47047	24.03181	36.87843	1.19430	2.45143
206445_s_at	316.86541	290.61217	297.74464	534.16585	495.76154
206446_s_at	7.49082	0.84831	3.74732	1.43372	12.86553
206447_at	9.10606	4.13528	12.73757	3.52321	28.37128
206448_at	942.89023	814.27939	791.18279	4.92759	12.49110
206449_s_at	6.05028	6.46610	11.33276	7.00827	6.21964
206450_at	2.63292	5.54446	5.92484	1.99962	7.45142
206451_at	20.07216	16.82369	12.97367	18.62100	13.85082
206452_x_at	63.78907	57.71788	59.23801	70.75669	212.09426
