#%guid=7fe9fb03-8f18-4df9-4a2e-efe35a7e1781
#%affymetrix-algorithm-param-apt-engine=ProbesetSummarizeEngine
#%affymetrix-algorithm-param-apt-program-name=apt-probeset-summarize
#%affymetrix-algorithm-param-apt-command-line=../../releases/2009-06-04_apt-head/linux64/apt-probeset-summarize -a mas5-bg,quant-norm,pm-mm,sea,pca-select -o ./output_2009-06-04_apt-head_linux64/anal_options_15 -d ../../../../regression-data/lib/HG-U133_Plus_2/HG-U133_Plus_2.cdf ../../../../regression-data/cel/HG-U133_Plus_2/4221B_a01.CEL ../../../../regression-data/cel/HG-U133_Plus_2/4221B_b01.CEL ../../../../regression-data/cel/HG-U133_Plus_2/4221B_c01.CEL ../../../../regression-data/cel/HG-U133_Plus_2/4221H_a02.CEL ../../../../regression-data/cel/HG-U133_Plus_2/4221H_b02.CEL
#%affymetrix-algorithm-param-apt-exec-guid=7509a796-934f-48e9-6f97-4a4df0538327
#%affymetrix-algorithm-param-apt-analysis-guid=0c047db7-e6a7-43f6-8a30-5a4141917152
#%affymetrix-algorithm-param-apt-time-str=Wed Aug 26 14:32:27 2009
#%affymetrix-algorithm-param-apt-version=NON-OFFICIAL-RELEASE $Id: apt-probeset-summarize.cpp,v 1.169 2009/05/28 06:15:27 awilli Exp $
#%affymetrix-algorithm-param-apt-cvs-id=$Id: apt-probeset-summarize.cpp,v 1.169 2009/05/28 06:15:27 awilli Exp $
#%affymetrix-algorithm-param-apt-free-mem=121865002188
#%affymetrix-algorithm-param-apt-opt-do-ps-names=true
#%affymetrix-algorithm-param-apt-opt-chip-type=HG-U133_Plus_2
#%affymetrix-algorithm-param-apt-opt-probe-count=1354896
#%affymetrix-algorithm-param-apt-opt-force=false
#%affymetrix-algorithm-param-apt-opt-precision=5
#%affymetrix-algorithm-param-apt-opt-out-dir=./output_2009-06-04_apt-head_linux64/anal_options_15
#%affymetrix-algorithm-param-apt-opt-cc-expr-chp-out-dir=
#%affymetrix-algorithm-param-apt-opt-cc-md-chp-out-dir=
#%affymetrix-algorithm-param-apt-opt-xda-chp-out-dir=
#%affymetrix-algorithm-param-apt-opt-cdf-file=HG-U133_Plus_2.cdf
#%affymetrix-algorithm-param-apt-opt-spf-file=
#%affymetrix-algorithm-param-apt-opt-pgf-file=
#%affymetrix-algorithm-param-apt-opt-clf-file=
#%affymetrix-algorithm-param-apt-opt-bgp-file=
#%affymetrix-algorithm-param-apt-opt-ps-list-file=
#%affymetrix-algorithm-param-apt-opt-meta-ps-file=
#%affymetrix-algorithm-param-apt-opt-qc-groups-file=
#%affymetrix-algorithm-param-apt-opt-kill-list=
#%affymetrix-algorithm-param-apt-opt-temp-dir=./output_2009-06-04_apt-head_linux64/anal_options_15/temp
#%affymetrix-algorithm-param-apt-opt-diskCache=50
#%affymetrix-algorithm-param-apt-opt-cel-count=5
#%affymetrix-algorithm-param-apt-opt-cel-1=4221B_a01.CEL
#%affymetrix-algorithm-param-apt-opt-cel-2=4221B_b01.CEL
#%affymetrix-algorithm-param-apt-opt-cel-3=4221B_c01.CEL
#%affymetrix-algorithm-param-apt-opt-cel-4=4221H_a02.CEL
#%affymetrix-algorithm-param-apt-opt-cel-5=4221H_b02.CEL
#%affymetrix-algorithm-param-apt-opt-analysis-name=mas5-bg.quant-norm.pm-mm.sea.pca-select
#%affymetrix-algorithm-param-apt-opt-set-analysis-name=
#%affymetrix-algorithm-param-apt-opt-analysis-spec=mas5-bg,quant-norm.sketch=-1.bioc=false.lowprecision=false.usepm=false.target=0.doavg=false.subsetmd5=d41d8cd98f00b204e9800998ecf8427e,pm-mm,sea.optmethod=1.atten=0.005.InitAugmentation=0.1.InitDefaultFeatureResponse=1.0.InitDefaultTargetResponse=1.0.SeaOptConvergence=0.000001.SeaOptIteration=2000.PlierGmCutoff=0.15.PlierDifferentialFeaturePenalty=0.001.PlierDifferentialTargetPenalty=0.000001.PlierUseMMLikelihood=true.PlierUseInputModel=false.PlierFitFeatureResponse=false.PlierOptConvergence=0.000001.PlierOptIteration=3000.PlierOptDropMax=3.0.PlierOptLambdaLimit=0.01.PlierOptOptimizationMethod=0.PlierOptBalanceMethod=0.FixPrecomputed=true.NumericalTolerance=0.1.SafetyZero=0.000001.FixFeatureEffect=false,pca-select.log=true.debug=false.corr=false.info-criterion=aic.hard-min=4.min-percent=0.2.qnorm-only=true
#%affymetrix-algorithm-param-apt-opt-feat-effect-file=
#%affymetrix-algorithm-param-apt-opt-target-sketch-file=
#%affymetrix-algorithm-param-apt-opt-do-residuals=false
#%affymetrix-algorithm-param-apt-opt-do-feature-effects=false
#%affymetrix-algorithm-param-apt-opt-write-sketch=false
#%affymetrix-algorithm-param-quantification-name=sea
#%affymetrix-algorithm-param-quantification-version=2.0
#%affymetrix-algorithm-param-quantification-scale=linear
#%affymetrix-algorithm-param-quantification-type=signal
probeset_id	4221B_a01.CEL	4221B_b01.CEL	4221B_c01.CEL	4221H_a02.CEL	4221H_b02.CEL
AFFX-HSAC07/X00351_M_at	2536.04608	2574.35374	2681.86628	1015.42530	991.48818
AFFX-HSAC07/X00351_3_at	2252.49966	2229.49398	2011.96391	1019.97810	1008.31051
AFFX-M27830_5_at	96.81096	67.91888	82.56211	164.41889	149.21661
AFFX-M27830_M_at	269.42941	246.80218	283.03861	498.15754	569.77197
AFFX-M27830_3_at	12.66717	12.71074	11.03970	22.33373	18.53142
AFFX-hum_alu_at	6627.89646	6699.64194	6764.04944	4104.07451	3962.90890
1007_s_at	571.72101	521.17362	453.55414	52.02693	65.32888
1053_at	58.99961	65.06819	44.58855	26.80446	24.07798
117_at	3.15246	16.33276	19.23873	36.74064	74.58414
121_at	63.36544	78.41311	51.37179	75.96834	77.21446
1255_g_at	16.09121	15.29179	14.88465	0.25182	3.00299
1294_at	23.29588	68.67552	40.08864	85.85272	88.62468
1316_at	30.74322	31.59867	21.57930	20.12309	24.15668
1320_at	10.70592	8.79937	10.53756	14.53549	44.01951
1405_i_at	2.08898	4.83498	1.70882	7.31555	27.65842
1431_at	27.29549	22.50836	14.34248	0.17651	1.08483
1438_at	9.79708	11.00740	15.40638	3.76756	4.16853
1487_at	39.46609	35.88593	30.45346	140.18055	139.53203
1494_f_at	16.88432	13.43967	11.56408	25.22928	38.17711
1598_g_at	133.02836	138.05555	133.35042	516.79452	486.92667
160020_at	120.48571	131.57618	107.82374	124.74664	111.85723
1729_at	45.95727	45.11500	34.93034	1.68184	18.07958
1773_at	60.06804	63.91735	49.83276	27.52283	33.24259
177_at	21.23773	18.62194	26.47476	26.03227	28.76999
179_at	44.26087	53.16114	17.53151	235.50581	94.01109
1861_at	110.84447	96.90592	94.05195	53.77629	28.64082
206400_at	12.23830	9.64867	2.51678	2.37272	6.40917
206401_s_at	274.23771	289.43946	278.92450	8.28853	1.14066
206402_s_at	7.66205	5.52293	5.75124	4.21193	5.31830
206403_at	210.15031	185.76911	170.34771	6.18205	2.62428
206404_at	127.49115	129.17787	111.36997	68.92411	94.72387
206405_x_at	317.63588	353.71319	267.54051	49.98084	42.32185
206406_at	2.75164	1.51522	1.96053	1.59305	2.98845
206407_s_at	12.44965	8.11714	12.16807	25.77598	27.17804
206408_at	345.08695	373.71048	287.94300	0.32078	0.94642
206409_at	49.23422	45.14247	48.11368	8.63719	0.70016
206410_at	6.64838	9.00239	3.57099	25.03123	31.16674
206411_s_at	6.90861	7.00080	4.03896	3.07580	0.95527
206412_at	36.45741	30.06090	24.10364	1.54066	20.83803
206413_s_at	6.47117	3.39486	7.58365	6.00955	4.26150
206414_s_at	193.78086	206.62802	196.83387	41.14582	36.08021
206415_at	0.87401	10.71449	7.71206	1.39686	4.47413
206416_at	1.94303	5.25640	2.44648	6.23239	6.21879
206417_at	5.17920	6.02195	6.70015	11.22687	5.84439
206418_at	4.30523	1.59976	31.10309	4.80225	8.07730
206419_at	13.63603	25.54436	20.27868	54.84662	70.23191
206420_at	6.17326	1.20492	16.77034	1.21618	12.39792
206421_s_at	1.08655	1.79243	0.70725	1.03962	0.81463
206422_at	1.38834	10.93304	0.97418	2.31623	2.44448
206423_at	5.67286	5.10758	2.47701	5.87264	7.58488
206424_at	34.59450	32.63187	49.11132	9.77927	6.59867
206425_s_at	20.42875	12.75674	15.36019	10.24388	10.32948
206426_at	19.26488	20.82993	5.58744	3.02068	2.98733
206427_s_at	18.29519	12.32171	13.82740	26.69267	31.99730
206428_s_at	2.91942	8.07592	3.01285	12.68979	75.19541
206429_at	14.52290	13.01727	13.63416	19.32799	53.49762
206430_at	8.37857	6.37291	7.61641	3.69487	5.02441
206431_x_at	276.66978	259.15203	314.10722	104.51665	89.13223
206432_at	9.36787	2.36409	12.50672	5.71827	9.13186
206433_s_at	183.92352	130.80503	128.40908	2.27898	1.30688
206434_at	322.16285	306.96700	307.56230	3.24986	0.44978
206435_at	145.57341	160.48986	142.87287	10.10080	36.59083
206436_at	125.86472	137.99492	119.28752	2.21425	0.62305
206437_at	17.49501	41.90219	35.57717	80.59385	76.37048
206438_x_at	88.04316	56.10330	99.80419	139.41581	294.25639
206439_at	1.94161	3.95033	1.64052	8.01800	1.03643
206440_at	16.46129	10.43810	2.08894	12.54876	6.01556
206441_s_at	103.06398	88.07562	108.21895	47.46070	42.07578
206442_at	3.41636	1.40606	5.01218	3.60703	3.91081
206443_at	31.99899	25.61312	24.79008	9.02886	6.25206
206444_at	50.47049	24.03181	36.87841	1.19430	2.45144
206445_s_at	316.86541	290.61217	297.74464	534.16585	495.76154
206446_s_at	7.49082	0.84831	3.74732	1.43372	12.86554
206447_at	9.10606	4.13528	12.73758	3.52320	28.37128
206448_at	942.89016	814.27954	791.18273	4.92758	12.49111
206449_s_at	6.05028	6.46609	11.33276	7.00827	6.21964
206450_at	2.63292	5.54446	5.92483	1.99962	7.45142
206451_at	20.07216	16.82369	12.97367	18.62100	13.85082
206452_x_at	63.78907	57.71787	59.23800	70.75671	212.09440
