#Region	Chromosome	Start	Stop	CN-Probes	SNP-Probes
CNV3	chr1	805964	849636	CN_502752,CN_504914,CN_507128,CN_509363,CN_518002	SNP_A-8408912,SNP_A-1886933,SNP_A-2205441
CNV4	chr1	1660080	1704765	CN_445741,CN_449933,CN_452610,CN_452612,CN_453924,CN_454019,CN_436870,CN_439322,CN_440531	SNP_A-2169457
CNV6	chr1	8116850	8123551	CN_496154,CN_496160,CN_496177	SNP_A-8427009,SNP_A-2277881,SNP_A-2264538
CNV10	chr1	10304807	10312249	CN_451714,CN_452957,CN_451719,CN_451720,CN_451721,CN_452956,CN_452958,CN_452970,CN_452971,CN_452985,CN_452988	
CNV12	chr1	12780129	12817362	CN_450649,CN_450652,CN_450651,CN_450660,CN_450664,CN_450666,CN_450667,CN_450672,CN_003812	SNP_A-8687500,SNP_A-8294025,SNP_A-8440552,SNP_A-8502362,SNP_A-8647576
CNV13	chr1	12843503	12861373	CN_003822,CN_450678,CN_450679,CN_450680,CN_450681	SNP_A-4243607,SNP_A-8299606,SNP_A-8351036
CNV15	chr1	13190214	13213328	CN_450716,CN_450723,CN_450726,CN_450727	
CNV22	chr1	16940461	17007553	CN_008811,CN_008818,CN_008831,CN_436901,CN_436912,CN_436914,CN_436925,CN_436926,CN_436932,CN_436957,CN_438082,CN_008881,CN_438086,CN_008883,CN_438087,CN_008889,CN_438108,CN_438123,CN_438126,CN_438128,CN_438130,CN_438131,CN_438132,CN_438133,CN_438136,CN_438148,CN_438149,CN_438163,CN_438164,CN_438165,CN_438166,CN_438167,CN_438170,CN_438179,CN_438190,CN_438191,CN_439299,CN_439300,CN_439301	SNP_A-4233933
CNV28	chr1	25338444	25407321	CN_482242,CN_482244,CN_482245,CN_482246,CN_482247,CN_482248,CN_020764,CN_482249,CN_482250,CN_482252,CN_484320,CN_020771,CN_484321,CN_484323,CN_484325,CN_484326,CN_484330,CN_484331,CN_484332,CN_484333,CN_484335,CN_484337	
CNV35	chr1	34771747	34773584	CN_489031,CN_489028,CN_489030,CN_489033,CN_489034,CN_489039,CN_489044,CN_489043,CN_489045,CN_489046	SNP_A-8288610
CNV46	chr1	55436044	55436320	CN_482471,CN_025764,CN_482472,CN_482473,CN_482474,CN_482475	
CNV48	chr1	61826027	61830208	CN_495706,CN_026565,CN_026566	SNP_A-8502567
CNV49	chr1	62151252	62151336	CN_497903,CN_497904,CN_497905,CN_497906,CN_497907	
CNV53	chr1	64554748	64563566	CN_511069,CN_511070,CN_511071,CN_026987	
CNV59	chr1	72468134	72475391	CN_517817,CN_517818,CN_517819,CN_517820,CN_517821,CN_517823,CN_517824	SNP_A-2239133
CNV60	chr1	72480937	72523169	CN_517828,CN_517830,CN_028124,CN_517831,CN_517834,CN_517837,CN_517839,CN_517836,CN_517844,CN_517841,CN_517842,CN_517843,CN_517848,CN_517850,CN_517851,CN_519922,CN_519923,CN_519924,CN_519925,CN_519927,CN_028133,CN_519932,CN_519935,CN_519933,CN_519934,CN_519936,CN_519939,CN_519940,CN_519941,CN_519942	
