#%create_date=Wed Feb 15 13:27:46 2006 PST
#%lib-set-name=HuEx-1_0-st
#%lib-set-version=v2
#%genome-species=Homo sapiens
#%genome-version=hg17
#%genome-version-ucsc=hg17
#%genome-version-ncbi=35
#%genome-version-create_date=2004-05
#%genome-lifted_from-version-ucsc=hg16
#%genome-lifted_from-version-ncbi=34
#%genome-lifted_from-species=Homo sapiens
#%genome-lifted-method=liftOver
#%netaffx-annotation-date=2005-12-14
#%netaffx-annotation-csv-version=1.5
#%netaffx-annotation-data-type=probe_set
#%netaffx-annotation-genome-version-ncbi=35
#%netaffx-annotation-genome-version-ucsc=hg17
#%netaffx-annotation-netaffx-build=05q4
#%netaffx-annotation-docgen-method=create-download-file.pl
#%netaffx-annotation-docgen-version=1.41
"probeset_id","seqname","strand","start","stop","probe_count","transcript_cluster_id","exon_id","psr_id","gene_assignment","mrna_assignment","probeset_type","number_independent_probes","number_cross_hyb_probes","number_nonoverlapping_probes","level","bounded","noBoundedEvidence","has_cds","fl","mrna","est","vegaGene","vegaPseudoGene","ensGene","sgpGene","exoniphy","twinscan","geneid","genscan","genscanSubopt","mouse_fl","mouse_mrna","rat_fl","rat_mrna","microRNAregistry","rnaGene","mitomap"
"2315101","chr1","+","1788","2030","4","2315100","1","1","---","ENST00000295199 // chr1 // 100 // 4 // 4 // 0 /// ENST00000295199 // chr1 // 100 // 4 // 4 // 0 /// BC032353 // chr1 // 100 // 4 // 4 // 0 /// AK123946 // chr1 // 100 // 3 // 3 // 0 /// AK123946 // chr1 // 100 // 3 // 3 // 0","2","4","0","3","extended","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2315102","chr1","+","2520","2555","4","2315100","2","2","XM_376814 // MGC13005 /// XM_375282 // LOC400479","XM_376814 // chr1 // 100 // 4 // 4 // 0 /// XM_375282 // chr1 // 100 // 4 // 4 // 0 /// ENST00000295199 // chr1 // 100 // 4 // 4 // 0 /// AK123946 // chr1 // 100 // 4 // 4 // 0 /// BC032353 // chr1 // 100 // 4 // 4 // 0 /// GENSCAN00000033171 // chr1 // 100 // 4 // 4 // 0 /// GENSCAN00000061976 // chr1 // 100 // 4 // 4 // 0 /// GENSCAN00000066378 // chr1 // 100 // 4 // 4 // 0 /// GENSCAN00000004844 // chr1 // 100 // 4 // 4 // 0","2","1","0","1","extended","0","0","0","0","1","2","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0"
"2315104","chr1","+","3229","3751","4","2315100","4","4","BC005070 // MGC13005","ENST00000295199 // chr1 // 100 // 1 // 1 // 0 /// ENST00000295199 // chr1 // 100 // 1 // 1 // 0 /// BC032353 // chr1 // 100 // 4 // 4 // 0 /// BC032353 // chr1 // 100 // 4 // 4 // 0 /// AK123946 // chr1 // 100 // 3 // 3 // 0 /// BC005070 // chr1 // 100 // 3 // 3 // 0 /// AK123946 // chr1 // 100 // 3 // 3 // 0 /// GENSCAN00000066378 // chr1 // 100 // 4 // 4 // 0 /// GENSCAN00000033171 // chr1 // 100 // 4 // 4 // 0","2","4","0","3","extended","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2315105","chr1","+","4013","4231","4","2315100","4","5","BC005070 // MGC13005","ENST00000295199 // chr1 // 100 // 4 // 4 // 0 /// AK123946 // chr1 // 100 // 4 // 4 // 0 /// BC005070 // chr1 // 100 // 4 // 4 // 0 /// BC032353 // chr1 // 100 // 4 // 4 // 0 /// GENSCAN00000066378 // chr1 // 100 // 4 // 4 // 0 /// GENSCAN00000033171 // chr1 // 100 // 4 // 4 // 0","2","2","0","2","extended","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2315112","chr1","+","15010","15080","4","2315111","8","9","XM_498727 // LOC440545","XM_498727 // chr1 // 100 // 2 // 2 // 0","2","3","0","2","extended","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2315118","chr1","+","20486","20529","4","2315117","11","12","XM_498727 // LOC440545","XM_498727 // chr1 // 100 // 4 // 4 // 0","3","2","0","1","full","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"2315126","chr1","+","41818","41856","4","2315125","15","16","---","GENSCAN00000066380 // chr1 // 100 // 4 // 4 // 0","2","2","0","1","full","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"2315132","chr1","+","52792","52822","4","2315129","20","21","---","GENSCAN00000054908 // chr1 // 100 // 4 // 4 // 0","2","1","0","1","extended","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0"
"2315138","chr1","+","58998","59141","4","2315125","22","25","NM_001005240 // OR4F17 /// NM_001005484 // OR4F5 /// NM_001004195 // OR4F4","NM_001005240 // chr1 // 100 // 4 // 4 // 0 /// NM_001005484 // chr1 // 100 // 4 // 4 // 0 /// NM_001004195 // chr1 // 100 // 4 // 4 // 0 /// ENST00000318050 // chr1 // 100 // 4 // 4 // 0 /// ENST00000335137 // chr1 // 100 // 4 // 4 // 0 /// ENST00000326183 // chr1 // 100 // 4 // 4 // 0 /// AY972817 // chr1 // 100 // 4 // 4 // 0 /// GENSCAN00000054908 // chr1 // 100 // 4 // 4 // 0","2","4","0","4","extended","0","0","1","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","0","0","0"
"2315140","chr1","+","59178","59373","4","2315125","22","26","NM_001005484 // OR4F5 /// NM_001005240 // OR4F17 /// NM_001004195 // OR4F4","NM_001005484 // chr1 // 100 // 4 // 4 // 0 /// NM_001005240 // chr1 // 100 // 4 // 4 // 0 /// NM_001004195 // chr1 // 100 // 4 // 4 // 0 /// ENST00000326183 // chr1 // 100 // 4 // 4 // 0 /// ENST00000335137 // chr1 // 100 // 4 // 4 // 0 /// ENST00000318050 // chr1 // 100 // 4 // 4 // 0 /// AY972817 // chr1 // 100 // 4 // 4 // 0 /// GENSCAN00000066380 // chr1 // 100 // 4 // 4 // 0 /// GENSCAN00000054908 // chr1 // 100 // 4 // 4 // 0","2","4","0","4","extended","0","0","1","0","0","0","0","0","1","1","1","1","0","1","0","1","0","0","0","0","0","0"
