#%create_date=Thu Feb 16 00:26:49 2006 PST 1
#%lib-set-name=HuEx-1_0-st 1
#%lib-set-version=v2 1
#%genome-species=Homo sapiens 1
#%genome-version=hg17 1
#%genome-version-ucsc=hg17 1
#%genome-version-ncbi=35 1
#%genome-version-create_date=2004-05 1
#%genome-lifted_from-version-ucsc=hg16 1
#%genome-lifted_from-version-ncbi=34 1
#%genome-lifted_from-species=Homo sapiens 1
#%genome-lifted-method=liftOver 1
#%netaffx-annotation-date=2005-12-14 1
#%netaffx-annotation-csv-version=1.5 1
#%netaffx-annotation-data-type=transcript_cluster 1
#%netaffx-annotation-genome-version-ncbi=35 1
#%netaffx-annotation-genome-version-ucsc=hg17 1
#%netaffx-annotation-netaffx-build=05q4 1
#%netaffx-annotation-docgen-method=create-download-file.pl 1
#%netaffx-annotation-docgen-version=1.42 1
## probeset_id refers to the transcript cluster id, not the exon level probe set, and is required for ExACT software compatibility. 1
"transcript_cluster_id","probeset_id1","seqname1","strand1","start1","stop1","total_probes1","gene_assignment1","mrna_assignment1","swissprot1","unigene1","GO_biological_process1","GO_cellular_component1","GO_molecular_function1","pathway1","protein_domains1"
"2315111","2315111 1","chr1 1","+ 1","15005 1","15395 1","4 1","XM_498727 // LOC440545 // LOC440545 // 1p36.33 // 440545 1","XM_498727 // RefSeq // PREDICTED: Homo sapiens LOC440545 (LOC440545), mRNA. // chr1 // 100 // 50 // 2 // 2 // 0 1","--- 1","XM_498727 // Hs.558991 // mixed ; other ; brain ; lung ; kidney ; lymph node  1","--- 1","--- 1","--- 1","--- 1","--- 1"
"2315117","2315117 1","chr1 1","+ 1","20486 1","20530 1","4 1","XM_498727 // LOC440545 // LOC440545 // 1p36.33 // 440545 1","XM_498727 // RefSeq // PREDICTED: Homo sapiens LOC440545 (LOC440545), mRNA. // chr1 // 100 // 100 // 4 // 4 // 0 1","--- 1","XM_498727 // Hs.558991 // mixed ; other ; brain ; lung ; kidney ; lymph node  1","--- 1","--- 1","--- 1","--- 1","--- 1"
"2315125","2315125 1","chr1 1","+ 1","41776 1","60496 1","26 1","NM_001005240 // OR4F17 // olfactory receptor, family 4, subfamily F, member 17 // 19p13.3 // 81099 /// NM_001005484 // OR4F5 // olfactory receptor, family 4, subfamily F, member 5 // 1p36.33 // 79501 /// NM_001004195 // OR4F4 // olfactory receptor, family 4, subfamily F, member 4 // 15q26.3 // 26682 1","NM_001005240 // RefSeq // Homo sapiens olfactory receptor, family 4, subfamily F, member 17 (OR4F17), mRNA. // chr1 // 100 // 58 // 15 // 15 // 0 /// NM_001005484 // RefSeq // Homo sapiens olfactory receptor, family 4, subfamily F, member 5 (OR4F5), mRNA. // chr1 // 100 // 58 // 15 // 15 // 0 /// NM_001004195 // RefSeq // Homo sapiens olfactory receptor, family 4, subfamily F, member 4 (OR4F4), mRNA. // chr1 // 100 // 58 // 15 // 15 // 0 /// ENST00000335137 // ENSEMBL Transcript //  cdna:known chromosome:NCBI35:15:100279868:100280785:-1 gene:ENSG00000186092 // chr1 // 100 // 58 // 15 // 15 // 0 /// ENST00000326183 // ENSEMBL Transcript //  cdna:known chromosome:NCBI35:1:58954:59871:1 gene:ENSG00000177693 // chr1 // 100 // 58 // 15 // 15 // 0 /// ENST00000318050 // ENSEMBL Transcript //  cdna:known chromosome:NCBI35:19:61679:62596:1 gene:ENSG00000176695 // chr1 // 100 // 58 // 15 // 15 // 0 /// AY972817 // GenBank // Homo sapiens OR4F17 isoform 2 mRNA, partial cds, alternatively spliced. // chr1 // 100 // 46 // 12 // 12 // 0 /// GENSCAN00000066380 // ENSEMBL Prediction //  cdna:Genscan chromosome:NCBI35:1:41776:96837:1 // chr1 // 100 // 31 // 8 // 8 // 0 /// GENSCAN00000054908 // ENSEMBL Prediction //  cdna:Genscan chromosome:NCBI35:19:55502:62125:1 // chr1 // 100 // 31 // 8 // 8 // 0 1","AY972817 // Q52R94 /// AY972817 // Q52R93 /// AY972817 // Q52R92 1","NM_001005240 // Hs.567779 //  /// NM_001005484 // Hs.554500 //  /// NM_001004195 // Hs.557249 // kidney ; pancreas  1","NM_001005240 // 7165 // signal transduction // inferred from electronic annotation /// NM_001005240 // 7186 // G-protein coupled receptor protein signaling pathway // inferred from electronic annotation /// NM_001005240 // 7600 // sensory perception // inferred from electronic annotation /// NM_001005240 // 7608 // sensory perception of smell // inferred from electronic annotation /// NM_001005484 // 7165 // signal transduction // inferred from electronic annotation /// NM_001005484 // 7186 // G-protein coupled receptor protein signaling pathway // inferred from electronic annotation /// NM_001005484 // 7600 // sensory perception // inferred from electronic annotation /// NM_001005484 // 7608 // sensory perception of smell // inferred from electronic annotation /// NM_001004195 // 7165 // signal transduction // inferred from electronic annotation /// NM_001004195 // 7186 // G-protein coupled receptor protein signaling pathway // inferred from electronic annotation /// NM_001004195 // 7600 // sensory perception // inferred from electronic annotation /// NM_001004195 // 7608 // sensory perception of smell // inferred from electronic annotation 1","NM_001005240 // 16021 // integral to membrane // inferred from electronic annotation /// NM_001005484 // 16021 // integral to membrane // inferred from electronic annotation /// NM_001004195 // 16021 // integral to membrane // inferred from electronic annotation 1","NM_001005240 // 4872 // receptor activity // inferred from electronic annotation /// NM_001005240 // 4984 // olfactory receptor activity // inferred from electronic annotation /// NM_001005484 // 4872 // receptor activity // inferred from electronic annotation /// NM_001005484 // 4984 // olfactory receptor activity // inferred from electronic annotation /// NM_001004195 // 4872 // receptor activity // inferred from electronic annotation /// NM_001004195 // 4984 // olfactory receptor activity // inferred from electronic annotation 1","--- 1","NM_001005240 // Pfam // IPR000276 // Rhodopsin-like GPCR superfamily /// NM_001005484 // Pfam // IPR000276 // Rhodopsin-like GPCR superfamily /// NM_001004195 // Pfam // IPR000276 // Rhodopsin-like GPCR superfamily /// ENST00000335137 // Pfam // IPR000276 // Rhodopsin-like GPCR superfamily /// ENST00000326183 // Pfam // IPR000276 // Rhodopsin-like GPCR superfamily /// ENST00000318050 // Pfam // IPR000276 // Rhodopsin-like GPCR superfamily /// AY972817 // Pfam // IPR000276 // Rhodopsin-like GPCR superfamily /// GENSCAN00000066380 // Pfam // IPR000276 // Rhodopsin-like GPCR superfamily /// GENSCAN00000054908 // Pfam // IPR000276 // Rhodopsin-like GPCR superfamily 1"
"2315129","2315129 1","chr1 1","+ 1","42315 1","53750 1","20 1","--- 1","GENSCAN00000054908 // ENSEMBL Prediction //  cdna:Genscan chromosome:NCBI35:19:55502:62125:1 // chr1 // 100 // 20 // 4 // 4 // 0 1","--- 1","--- 1","--- 1","--- 1","--- 1","--- 1","GENSCAN00000054908 // Pfam // IPR000276 // Rhodopsin-like GPCR superfamily 1"
"2315163","2315163 1","chr1 1","+ 1","128303 1","702213 1","85 1","XM_379848 // LOC402521 // hypothetical LOC402521 //  // 402521 /// XM_498835 // LOC440726 // hypothetical gene supported by AK097404; NM_198284 // 1q42.13 // 440726 /// XM_379488 // LOC401344 // hypothetical gene supported by AK024248; AL137733; BC062355 // 7p11.2 // 401344 /// XM_379273 // FLJ14186 // hypothetical gene supported by AK024248; AL137733 // 4q26 // 401149 1","XM_379848 // RefSeq // PREDICTED: Homo sapiens hypothetical LOC402521 (LOC402521), mRNA. // na // --- // 9 // 8 // --- // 0 /// XM_498835 // RefSeq // PREDICTED: Homo sapiens hypothetical gene supported by AK097404; NM_198284 (LOC440726), mRNA. // na // --- // 1 // 1 // --- // 0 /// XM_379488 // RefSeq // PREDICTED: Homo sapiens hypothetical LOC401344 (LOC401344), mRNA. // na // --- // 5 // 4 // --- // 0 /// XM_379273 // RefSeq // PREDICTED: Homo sapiens hypothetical LOC401149 (LOC401149), mRNA. // na // --- // 7 // 6 // --- // 0 1","--- 1","XM_379848 // Hs.455198 // testis ; kidney ; ovary ; other  /// XM_498835 // Hs.531193 // lymph node ; colon ; embryonic stem cell, retinoic acid and mitogen-treated hES cell line H7 ; blood ; mixed ; placenta ; kidney ; eye ; peripheral nervous system ; brain ; muscle  /// XM_379273 // Hs.448518 // Whole brain ; colon ; lung ; other ; Fetal Brain ; bladder ; mixed ; heart ; embryonic stem cells, DMSO-treated H9 cell line ; mammary gland ; lymph node ; stomach ; testis ; epididymis ; kidney ; pancreatic islet ; placenta ; pluripotent cell line derived from blastocyst inner cell mass ; uterus ; eye ; brain ; larynx ; blood ; ovary ; spleen ; bone marrow  1","--- 1","--- 1","--- 1","--- 1","--- 1"
"2315196","2315196 1","chr1 1","+ 1","134598 1","134755 1","4 1","NM_006974 // ZNF33A // zinc finger protein 33A // 10p11.2 // 7581 1","NM_006974 // RefSeq // Homo sapiens zinc finger protein 33A (ZNF33A), mRNA. // na // --- // 75 // 3 // --- // 0 1","NM_006974 // Q5VZ86 /// NM_006974 // Q06730 1","NM_006974 // Hs.435774 // other ; lung ; embryonic stem ; colon ; muscle ; brain ; pancreas ; prostate ; eye ; mammary gland ; embryonic stem cell, retinoic acid and mitogen-treated hES cell line H7 ; uterus ; mixed ; embryonic stem cells, DMSO-treated H9 cell line ; kidney ; placenta ; Whole brain ; Fetal Brain ; blood ; ovary ; lymph node ; tongue ; liver ; stomach ; larynx ; leiomios ; testis ; small intestine ; bone marrow ; normal gingiva ; lung adenocarcinoma ; soft tissue  1","NM_006974 // 6350 // transcription // inferred from electronic annotation /// NM_006974 // 6355 // regulation of transcription, DNA-dependent // non-traceable author statement 1","NM_006974 // 5634 // nucleus // non-traceable author statement 1","NM_006974 // 3700 // transcription factor activity // non-traceable author statement /// NM_006974 // 8270 // zinc ion binding // inferred from electronic annotation /// NM_006974 // 16564 // transcriptional repressor activity // non-traceable author statement /// NM_006974 // 46872 // metal ion binding // inferred from electronic annotation 1","--- 1","NM_006974 // Pfam // IPR007087 // Zn-finger, C2H2 type /// NM_006974 // Pfam // IPR001909 // KRAB box 1"
"2315206","2315206 1","chr1 1","+ 1","148013 1","154584 1","8 1","--- 1","AK123521 // GenBank // Homo sapiens cDNA FLJ41527 fis, clone BRTHA2014578. // chr1 // 100 // 38 // 3 // 3 // 0 1","--- 1","--- 1","--- 1","--- 1","--- 1","--- 1","--- 1"
"2315224","2315224 1","chr1 1","+ 1","367187 1","607999 1","32 1","--- 1","ENST00000361624 // ENSEMBL Transcript //  cdna:known chromosome:NCBI35:MT:5905:7446:1 gene:ENSG00000198804 // chr1 // 100 // 62 // 20 // 20 // 0 /// AK074742 // GenBank // Homo sapiens cDNA FLJ90261 fis, clone NT2RM4000761. // chr1 // 100 // 62 // 20 // 20 // 0 /// NC_001807 // GenBank // cytochrome c oxidase subunit I, Mitochondrion [Homo sapiens] // chr1 // 100 // 62 // 20 // 20 // 0 /// CR608441 // GenBank // full-length cDNA clone CS0DF003YI04 of Fetal brain of Homo sapiens (human). // chr1 // 100 // 59 // 19 // 19 // 0 /// NC_001807 // GenBank // gi|17981852|ref|NC_001807.4|:7519-7586; gene=TRND; product=tRNA-Asp // chr1 // 100 // 9 // 3 // 3 // 0 1","--- 1","--- 1","--- 1","--- 1","--- 1","--- 1","ENST00000361624 // Pfam // IPR000883 // Cytochrome c oxidase, subunit I /// NC_001807 // Pfam // IPR000883 // Cytochrome c oxidase, subunit I 1"
"2315299","2315299 1","chr1 1","+ 1","584656 1","586071 1","4 1","--- 1","GENSCAN00000012047 // ENSEMBL Prediction //  cdna:Genscan chromosome:NCBI35:1:584656:586071:1 // chr1 // 100 // 100 // 4 // 4 // 0 1","--- 1","--- 1","--- 1","--- 1","--- 1","--- 1","--- 1"
"2315301","2315301 1","chr1 1","+ 1","594632 1","650360 1","40 1","--- 1","ENST00000361453 // ENSEMBL Transcript //  cdna:known chromosome:NCBI35:MT:4471:5514:1 gene:ENSG00000198763 // chr1 // 100 // 25 // 10 // 10 // 0 /// NC_001807 // GenBank // NADH dehydrogenase subunit 2, Mitochondrion [Homo sapiens] // chr1 // 100 // 25 // 10 // 10 // 0 /// AF275801 // GenBank // Homo sapiens PNAS-105 mRNA, partial sequence. // chr1 // 100 // 15 // 6 // 6 // 0 /// NC_001807 // GenBank // gi|17981852|ref|NC_001807.4|:5513-5580; gene=TRNW; product=tRNA-Trp // chr1 // 100 // 5 // 2 // 2 // 0 /// NC_001807 // GenBank // gi|17981852|ref|NC_001807.4|:4264-4332; gene=TRNI; product=tRNA-Ile // chr1 // 33 // 8 // 1 // 3 // 1 /// AB043958 // GenBank // Homo sapiens mitochondrial tRNA-Ile, complete sequence. // chr1 // 33 // 8 // 1 // 3 // 1 /// GENSCAN00000012048 // ENSEMBL Prediction //  cdna:Genscan chromosome:NCBI35:1:594632:650360:1 // chr1 // 100 // 40 // 16 // 16 // 0 1","--- 1","--- 1","--- 1","--- 1","--- 1","--- 1","ENST00000361453 // Pfam // IPR001750 // NADH/Ubiquinone/plastoquinone (complex I) /// ENST00000361453 // Pfam // IPR010933 // NADH dehydrogenase subunit 2, C-terminal /// NC_001807 // Pfam // IPR010933 // NADH dehydrogenase subunit 2, C-terminal /// NC_001807 // Pfam // IPR001750 // NADH/Ubiquinone/plastoquinone (complex I) /// GENSCAN00000012048 // Pfam // IPR001750 // NADH/Ubiquinone/plastoquinone (complex I) 1"
