probeset_id	Chromosome	Position
CN_473963	1	51586
CN_473964	1	51659
CN_473965	1	51674
CN_473981	1	52771
CN_473982	1	52788
CN_497981	1	62627
CN_517763	1	72562
CN_502615	1	75787
CN_502613	1	75849
CN_502614	1	76175
CN_502616	1	76192
CN_502842	1	88439
CN_502843	1	88453
CN_466171	1	218557
CN_468414	1	218926
CN_468412	1	219009
CN_468413	1	219024
CN_470565	1	219470
CN_468424	1	225521
CN_468425	1	225579
CN_460512	1	346294
CN_460513	1	346393
SNP_A-8575125	1	554484
SNP_A-8575115	1	554636
SNP_A-8575371	1	557616
CN_524192	1	615321
CN_496034	1	696950
CN_500339	1	702396
CN_502639	1	708514
SNP_A-8709646	1	711153
SNP_A-8497791	1	730720
SNP_A-1909444	1	742429
CN_029239	1	747320
CN_029289	1	751219
SNP_A-8358063	1	751595
CN_491709	1	751969
SNP_A-8329892	1	755132
CN_494004	1	758644
SNP_A-8408912	1	766985
CN_502752	1	772100
CN_504914	1	775776
SNP_A-1886933	1	775852
CN_507094	1	779248
CN_507128	1	780400
CN_507160	1	780861
SNP_A-2236359	1	782343
SNP_A-8515688	1	788822
CN_511519	1	789246
SNP_A-2205441	1	789326
CN_511549	1	789582
CN_513755	1	794307
CN_518002	1	799624
CN_518121	1	802883
CN_518131	1	803169
CN_522419	1	808437
CN_489691	1	813987
CN_496307	1	826564
CN_496308	1	826597
CN_496332	1	826936
CN_505108	1	839868
CN_505122	1	840538
CN_518231	1	864753
CN_518232	1	864883
CN_489778	1	874623
CN_489788	1	875275
SNP_A-8524447	1	878522
CN_496453	1	890962
CN_498653	1	894458
SNP_A-8573955	1	908436
CN_509639	1	912872
CN_509640	1	913189
CN_509641	1	913530
SNP_A-8530278	1	916294
SNP_A-8573668	1	936897
SNP_A-8573414	1	939471
CN_000307	1	952521
CN_442121	1	952536
CN_442120	1	952816
CN_451635	1	978223
SNP_A-8531044	1	980280
SNP_A-8530320	1	980380
SNP_A-8572481	1	980702
SNP_A-2116190	1	993492
SNP_A-8325638	1	1007079
SNP_A-8469070	1	1008567
CN_443604	1	1018906
CN_443636	1	1020170
CN_446316	1	1025830
SNP_A-8700396	1	1028961
CN_447645	1	1029209
CN_447714	1	1030308
SNP_A-8411863	1	1031563
CN_449092	1	1034508
CN_001698	1	1037149
SNP_A-8420886	1	1038818
CN_450462	1	1039667
CN_443706	1	1079440
CN_443707	1	1079460
CN_443708	1	1079480
